Result For Model best
STOI	(ADTbabble)								(ADTcafeteria)							
STOI	(snr-5)	(snr-2)	(snr0)	(snr2)	(snr5)	(snr-5)	(snr-2)	(snr0)	(snr2)	(snr5)
MIX		0.5850	0.6546	0.7035	0.7489	0.8118	0.5752	0.6464	0.6986	0.7433	0.8106
EST		0.8557	0.9070	0.9276	0.9434	0.9586	0.8173	0.8841	0.9112	0.9303	0.9513
PESQ	(ADTbabble)								(ADTcafeteria)							
PESQ	(snr-5)	(snr-2)	(snr0)	(snr2)	(snr5)	(snr-5)	(snr-2)	(snr0)	(snr2)	(snr5)
MIX		1.5366	1.7032	1.8188	1.9354	2.1185	1.4641	1.6339	1.7667	1.9025	2.1218
EST		2.4532	2.8076	2.9895	3.1626	3.3550	2.2633	2.6339	2.8368	3.0140	3.2528
SNR 	(ADTbabble)								(ADTcafeteria)							
SNR 	(snr-5)	(snr-2)	(snr0)	(snr2)	(snr5)	(snr-5)	(snr-2)	(snr0)	(snr2)	(snr5)
MIX		-5.0000	-2.0000	0.0000	2.0000	5.0000	-5.0000	-2.0000	-0.0000	2.0000	5.0000
EST		8.1632	10.4580	11.8236	13.0846	14.8535	7.7010	10.0355	11.3267	12.5979	14.3985


